method,iteration,avg_total_reward,avg_discounted_return
Adam,21.0,6.0,4.614455570639142
Adam,22.0,5.5,4.22066729723584
Adam,23.0,3.75,2.6947042365871066
Adam,24.0,3.75,2.633689606001779
Adam,25.0,4.0,3.0448533276417216
Adam,26.0,4.25,3.0324206972121557
Adam,27.0,3.0,2.4053605932861686
Adam,28.0,4.75,3.4575159460176295
Adam,29.0,4.5,3.500362186476167
Adam,30.0,2.5,1.9220966789358336
Adam,31.0,4.25,3.082973749901718
Adam,32.0,6.25,4.506304640344733
Adam,33.0,3.75,2.687854102979178
Adam,34.0,3.5,2.563212874790269
Adam,35.0,4.0,2.831209151072555
Adam,36.0,5.75,4.151183686421501
Adam,37.0,4.25,3.1238777394766686
Adam,38.0,2.75,2.0089898265697834
Adam,39.0,4.75,3.5074034250647035
Adam,40.0,3.75,2.6889452839049257
Adam,41.0,5.0,3.7170761371821577
Adam,42.0,3.75,2.7125411607065177
Adam,43.0,3.75,2.7352099616877794
Adam,44.0,3.25,2.7242840090017486
Adam,45.0,4.0,2.9426504541614857
Adam,46.0,5.5,4.1920168474035755
Adam,47.0,4.0,3.0815357947133584
Adam,48.0,3.75,2.790240136525074
Adam,49.0,4.25,3.1706409147047476
Adam,50.0,4.25,3.1845017537812583
Adam,51.0,2.75,2.043735991696488
Adam,52.0,5.0,4.002146807640786
Adam,53.0,5.0,3.94525345922344
Adam,54.0,4.0,3.194831747170549
Adam,55.0,2.5,1.82897246149285
Adam,56.0,4.25,2.84691954292813
Adam,57.0,3.75,2.773205565639105
Adam,58.0,4.5,3.3188870511479354
Adam,59.0,4.25,3.103575355378716
Adam,60.0,3.75,2.8716804452430615
Adam,61.0,4.5,3.1981012727313427
Adam,62.0,5.75,4.4161077200577035
Adam,63.0,5.5,4.096540285794446
Adam,64.0,3.75,3.047647627175217
Adam,65.0,3.75,2.78675667507268
Adam,66.0,5.25,3.9391950869744425
Adam,67.0,6.5,4.959049130009108
Adam,68.0,2.25,1.754442928579972
Adam,69.0,3.0,2.2384327093772742
Adam,70.0,2.75,2.0653694725131553
Adam,71.0,6.25,4.625800400752068
Adam,72.0,3.5,2.629887467086153
Adam,73.0,5.25,3.90242225862095
Adam,74.0,5.25,3.851692367255171
Adam,75.0,5.25,3.7743123631800297
Adam,76.0,1.75,1.250585340872895
Adam,77.0,4.0,2.992126751693625
Adam,78.0,5.5,4.105065510161865
Adam,79.0,5.5,4.04905065427116
Adam,80.0,4.25,3.0701177901318326
Adam,81.0,6.5,5.171551549892652
Adam,82.0,4.25,3.021928248520524
Adam,83.0,4.25,2.932142153126791
Adam,84.0,3.25,2.140727177543914
Adam,85.0,4.5,3.1325468741765916
Adam,86.0,3.75,2.7443591742007736
Adam,87.0,4.5,3.431549426195402
Adam,88.0,5.0,3.7252536237499365
Adam,89.0,4.75,3.5472768363236917
Adam,90.0,4.0,2.8820781513461093
Adam,91.0,3.25,2.3270269190489667
Adam,92.0,2.75,1.9615045140112688
Adam,93.0,3.0,2.00860192396801
Adam,94.0,2.75,2.0762274705099197
Adam,95.0,4.25,3.1683143860457954
Adam,96.0,5.25,3.7057857083059567
Adam,97.0,5.5,3.920596647588148
Adam,98.0,5.75,4.3711224685974965
Adam,99.0,4.0,3.1079221423964913
Adam,100.0,6.0,4.667645486013882
